gene,log2FoldChange,pvalue,padj
Gnb4,0.057306264,0.006081534,0.009533514
Cnksr2,-0.097156252,0.006087776,0.009542431
Hectd2,0.145836849,0.006098401,0.009558216
A930012L18Rik,-0.151769591,0.006115712,0.009584474
Gm6473,-0.173802611,0.006129038,0.009604485
Slc19a3,0.089329258,0.006146035,0.009630242
Pgm2l1,-0.11016031,0.006158153,0.009648352
Tprn,0.082933201,0.00616245,0.009654206
Ppil6,0.114831079,0.006176544,0.009675406
Zfyve19,0.067763385,0.006180857,0.00968128
C130074G19Rik,0.140463377,0.006214208,0.009732633
Npm3,-0.110807312,0.006217294,0.009736327
Ube2h,-0.038022324,0.006217697,0.009736327
Rpl7-ps7,0.101168824,0.006221411,0.009741256
Gm45495,-0.056739112,0.006226324,0.009748061
Il1r1,0.137980961,0.00623966,0.009768053
Gmeb2,-0.057410462,0.006258182,0.009796158
Alkbh4,-0.065999094,0.006263053,0.009802846
Cryab,-0.109994722,0.006263594,0.009802846
Zic1,0.329709026,0.006264348,0.009803135
Vdac3,-0.051376598,0.006265107,0.009803431
Osgepl1,0.126058953,0.006273373,0.009815474
Syt2,-0.130526746,0.006294218,0.009847193
Ctdsp2-ps,0.075261669,0.006311689,0.009873629
Unc45a,-0.053338586,0.006321545,0.009888149
Mocs3,0.064077969,0.00634115,0.009917913
Mapre3,-0.045315914,0.006345287,0.009923482
Gadd45b,-0.167990702,0.00635088,0.009931327
A830036E02Rik,-0.443775769,0.006361086,0.009946384
Vps33a,-0.045821621,0.00637471,0.009966782
Slc35f6,0.039724378,0.006381786,0.009976937
Jund,0.093740589,0.006418118,0.010032826
Ttc4,0.054763707,0.006436257,0.010060267
Gm3625,0.125365962,0.006439331,0.010064159
Ssc4d,0.203490103,0.006445748,0.010073273
Maf,-0.0745394,0.006468732,0.010108275
Trappc11,-0.03532175,0.006477245,0.010120659
Sh3pxd2a,-0.069993037,0.006504612,0.010162497
Acot6,-0.057172132,0.006506223,0.010164091
Prcd,-0.245009813,0.006508158,0.010166192
Cdkn1a,-0.230772297,0.006510608,0.010169096
Hnrnpf,0.094476947,0.006526083,0.010192342
Eif3c,0.05223418,0.006531289,0.010199547
Nol7,0.051880648,0.006536314,0.010206469
Fbxo11,-0.056789656,0.006541187,0.010213151
2310034G01Rik,0.172831097,0.006545139,0.010218395
Amfr,-0.027809778,0.006556649,0.010235437
Gm13768,0.262577694,0.006561681,0.010242363
Rpl38-ps2,-0.081650447,0.0065741,0.010260817
Arsk,0.150288843,0.00659699,0.010295611
Scfd1,0.045741951,0.006599885,0.010299195
Tmed3,0.095461916,0.00660827,0.010311345
Hmgb1-ps3,0.178160161,0.006617337,0.010324558
Aldh18a1,-0.060524836,0.006628998,0.010340876
Slc12a4,0.104000486,0.006628823,0.010340876
Gm33989,0.090063263,0.006651926,0.010375703
Gm3739,-0.330599396,0.006670921,0.010404389
Gm57409,0.246686417,0.006704579,0.010455937
Elob,-0.063766218,0.006726739,0.010489544
Pelp1,0.042828273,0.006730804,0.010494933
Shisa2,-0.192805947,0.00673171,0.010495395
5830454E08Rik,0.171463371,0.006750595,0.010522933
Polr2d,-0.05403675,0.006750462,0.010522933
A630023P12Rik,0.218502652,0.006757176,0.010532238
Fbxl12,0.096235991,0.006760386,0.010536287
Gm16378,-0.089612357,0.00678071,0.010567005
Poll,0.064793354,0.006787056,0.010575938
Gm15728,0.17257738,0.006806298,0.010604962
9530051G07Rik,0.125447763,0.006809183,0.010608497
Gm35996,-0.251007764,0.006810236,0.010609177
Gm34552,0.209557167,0.006828795,0.010637126
Ascc2,0.044593632,0.006837908,0.010650357
Gm10819,-0.091778989,0.00683909,0.010651234
Gfra1,0.074066533,0.006846861,0.010661408
Gm38336,-0.179859397,0.006846569,0.010661408
Gm42902,-0.123930434,0.006851404,0.010667516
Polr1b,-0.074006194,0.006859673,0.010679426
Cyb561d1,0.046199986,0.006865232,0.010687114
Coro6,-0.163398108,0.006869743,0.010693169
Lrfn3,0.064646147,0.006874675,0.010699879
Nup210,-0.063320686,0.006880246,0.010707581
Gm30539,0.199594596,0.006881411,0.010708426
Gm50462,-0.118714883,0.006883447,0.010710626
Mtln,-0.073610345,0.006897698,0.010730861
Ube2m,-0.050167839,0.006897134,0.010730861
Gemin6,0.106106181,0.006903454,0.010738845
Eef1akmt2,0.058694494,0.006906467,0.010742562
Coq8b,0.154902173,0.006916563,0.010757292
Gm15624,0.260299773,0.006926091,0.010771138
Gm42067,-0.147910192,0.006943858,0.010797794
Cfap74,0.238360681,0.006945053,0.010798676
AV356131,0.146101476,0.006952321,0.010809
Gm11100,0.250183095,0.006967649,0.010831853
Rn18s-rs5,-0.431403228,0.00698381,0.010855997
Gm38413,-0.247292151,0.006995865,0.010873754
Cpne9,-0.156010468,0.007003323,0.010884363
Tmem106c,0.070439031,0.007018493,0.010906955
Gm12059,0.129707046,0.007026795,0.01091887
Vezt,-0.04589105,0.007031797,0.010925656
Sycp2,-0.229554358,0.007044755,0.010944803
Tomm70a,-0.055526035,0.007062807,0.010971858
Gm56811,0.185157595,0.007090939,0.011014566
Gpr101,-0.210516697,0.007094568,0.011019209
Mrpl53,-0.07595328,0.007095926,0.011020323
Dnai3,0.273283885,0.00710213,0.011028964
Rnf8,-0.070516,0.007102943,0.011029232
Chchd1,-0.072872749,0.007107748,0.011035697
Gm56718,-0.156038193,0.007110001,0.011038199
Nacad,0.062909775,0.007112818,0.011041578
Bsn,-0.12384186,0.007113779,0.011042073
Slc25a32,-0.070688077,0.007119392,0.01104979
Tstd2,-0.074070812,0.007123756,0.011055566
Arvcf,-0.057381292,0.007148393,0.011092801
Mag,0.10256822,0.007149567,0.011093096
Rpp25l,-0.141972564,0.007149872,0.011093096
Or5p58,-0.247723571,0.007174871,0.011130878
Mrps21,-0.065396806,0.007176961,0.011133117
1110018N20Rik,0.149595091,0.007216842,0.011193974
Atoh8,0.136346992,0.007223061,0.011202611
Tma7,-0.070908821,0.007230053,0.011212444
Fosl2,-0.132274293,0.007261407,0.011260055
Stxbp4,0.076023647,0.007265791,0.011265838
Hpse2,-0.197349814,0.007274537,0.011278382
Gm35040,-0.071372576,0.007276516,0.011280435
Cox6c2,-0.110880697,0.007286321,0.011294618
Nrros,-0.094751129,0.007287721,0.01129577
Mbd5,-0.089526665,0.007299485,0.011312986
Jkamp,-0.041130214,0.007304468,0.011319689
Leng8,0.184831221,0.007324044,0.011349005
Trim17,-0.138062727,0.007325367,0.011350033
Traf7,0.043639037,0.007333616,0.011361791
Polr3b,0.045219138,0.007354679,0.011393398
Gm6136,0.061175229,0.007366106,0.011410073
Galr1,-0.251827365,0.007369605,0.011414011
Spcs2,-0.045320414,0.007369974,0.011414011
Mrpl54,-0.078829771,0.007376889,0.011423692
Cntn6,0.10847742,0.007413182,0.011478863
Rbbp7,-0.054787144,0.007450519,0.01153564
Txndc12,0.055651963,0.007461633,0.011551808
A930029G22Rik,-0.136782497,0.007462438,0.011552016
Doc2g,-0.262287528,0.007484518,0.011585153
Exoc8,-0.050906123,0.007506159,0.011617606
Dact2,0.072398405,0.00752112,0.011637623
Dnaaf8,0.10059961,0.007520791,0.011637623
Lamtor2,-0.05881511,0.00752009,0.011637623
Asap2,-0.089021162,0.007530294,0.011650771
Hhipl1,0.196052307,0.007542472,0.011668563
Hmcn1,0.155995432,0.007543663,0.011669357
Fyttd1,-0.05504485,0.007550384,0.011678705
Sec11a,-0.055026211,0.007568241,0.011705274
Ephb1,0.066718515,0.007576997,0.011717764
Scn9a,-0.13851901,0.007592013,0.011739931
Tmem255b,-0.202849549,0.007602156,0.011754559
Trim28,0.030166545,0.007605244,0.011758278
Gm20753,0.174411398,0.007611171,0.011766385
Ide,0.048066336,0.00761995,0.011777898
Phospho1,0.172805043,0.007619986,0.011777898
Kmt5a,-0.085450297,0.007631308,0.011794338
Avpr1b,-0.255392863,0.007634068,0.011797544
Snhg8,-0.101014202,0.007638683,0.011803616
Mobp,-0.089551346,0.007639745,0.011804197
Bbs2,0.072040151,0.007676917,0.011860567
Gm13135,-0.147241305,0.007679141,0.011862939
Polr3a,0.063064549,0.00769003,0.011878695
Cbln1,0.267186707,0.007691264,0.011879535
