gene,log2FoldChange,pvalue,padj
Slc2a9,0.34388084,8.03E-13,3.12E-12
Slc25a10,0.195710199,8.07E-13,3.14E-12
Gm10643,0.253230616,8.09E-13,3.15E-12
Dph2,-0.147371857,8.13E-13,3.16E-12
Eya3,-0.137553471,8.18E-13,3.18E-12
Tmem243,0.201739001,8.20E-13,3.19E-12
Kdm4d,0.409569036,8.26E-13,3.21E-12
Gm37711,0.29014028,8.26E-13,3.21E-12
Zbtb2,-0.171293295,8.34E-13,3.24E-12
Slc35d1,0.179967788,8.40E-13,3.26E-12
Epc1,0.125490856,8.41E-13,3.27E-12
Fjx1,0.202962697,8.46E-13,3.28E-12
Wdr54,0.22513829,8.46E-13,3.28E-12
Ppp6c,-0.138528448,8.50E-13,3.30E-12
ENSMUSG00000121838,0.486057369,8.63E-13,3.35E-12
Plxna1,-0.319516555,8.65E-13,3.35E-12
Mapk9,-0.1168101,8.65E-13,3.35E-12
Cables2,-0.217024749,8.85E-13,3.43E-12
Depdc1b,0.512483001,8.92E-13,3.46E-12
Slc25a3,-0.116844436,8.97E-13,3.47E-12
Prickle2,-0.230645168,8.99E-13,3.48E-12
Malt1,0.369522993,9.00E-13,3.48E-12
Wdr18,-0.118792299,9.07E-13,3.51E-12
1700017B05Rik,-0.202411418,9.18E-13,3.55E-12
2810407A14Rik,-0.608831848,9.25E-13,3.58E-12
Rfx2,0.313889199,9.32E-13,3.61E-12
Minpp1,-0.102955844,9.33E-13,3.61E-12
Tmtc3,-0.219725759,9.39E-13,3.63E-12
Timm10b,-0.205969023,9.41E-13,3.64E-12
Lig4,-0.165416999,9.49E-13,3.67E-12
Jagn1,-0.135466054,9.49E-13,3.67E-12
Krt1,0.325761283,9.52E-13,3.68E-12
Pcyox1l,-0.184449334,9.53E-13,3.68E-12
Luzp1,-0.250480018,9.59E-13,3.70E-12
Tmed4,-0.111467686,9.64E-13,3.72E-12
Hsd11b1,-0.258781611,9.73E-13,3.76E-12
Zfyve27,-0.129420508,9.84E-13,3.80E-12
Col6a6,0.882279488,9.87E-13,3.81E-12
6330403K07Rik,0.324454048,9.95E-13,3.84E-12
B130046B21Rik,0.362635094,9.95E-13,3.84E-12
Gm36447,-0.46937983,9.99E-13,3.85E-12
Gm5802,-0.285433314,1.00E-12,3.86E-12
Doc2a,0.383798254,1.00E-12,3.87E-12
Lmbr1,-0.10655521,1.01E-12,3.88E-12
Sapcd2,0.372420012,1.01E-12,3.88E-12
Chfr,-0.140708921,1.01E-12,3.89E-12
Terf2ip,-0.090587706,1.01E-12,3.89E-12
Ifi44,0.626748728,1.02E-12,3.91E-12
Cpeb2,-0.183214113,1.02E-12,3.91E-12
Rmnd5a,-0.179455322,1.03E-12,3.96E-12
As3mt,0.262949357,1.03E-12,3.97E-12
Ecscr,0.430774712,1.03E-12,3.97E-12
Nlrx1,0.252433891,1.03E-12,3.98E-12
Fam8a1,-0.130057927,1.04E-12,3.99E-12
Tmem91,0.370429761,1.04E-12,3.99E-12
Zfp410,-0.12066198,1.04E-12,4.00E-12
Siglech,0.353035148,1.04E-12,4.00E-12
Mir670hg,-0.34068976,1.05E-12,4.03E-12
Pdia3,-0.189987843,1.07E-12,4.10E-12
Morc3,-0.122716646,1.07E-12,4.11E-12
Fibin,0.592026849,1.08E-12,4.14E-12
Pnpo,-0.189899695,1.08E-12,4.16E-12
Nid2,0.639160934,1.09E-12,4.17E-12
Gtf2e2,-0.138047921,1.09E-12,4.20E-12
Ppp1r37,-0.164235169,1.10E-12,4.20E-12
Lxn,0.189759445,1.11E-12,4.27E-12
Ccdc96,0.311453983,1.12E-12,4.29E-12
Ate1,-0.126857793,1.12E-12,4.30E-12
Sema3d,0.308334519,1.14E-12,4.35E-12
Fsd2,0.438133071,1.14E-12,4.36E-12
Gm12473,0.379496389,1.15E-12,4.41E-12
Nek2,0.439253274,1.17E-12,4.48E-12
Muc1,0.6712094,1.17E-12,4.49E-12
Fli1,0.290129972,1.19E-12,4.54E-12
Mtch1,-0.137127285,1.19E-12,4.54E-12
Meig1,0.352183567,1.20E-12,4.58E-12
Azi2,-0.120585368,1.20E-12,4.59E-12
Gpr151,0.467676061,1.20E-12,4.59E-12
Gsto2,0.355773111,1.21E-12,4.63E-12
Ralgds,-0.14107022,1.21E-12,4.63E-12
Rab26,-0.349254641,1.22E-12,4.65E-12
Nlrp3,0.446830049,1.23E-12,4.69E-12
Cdiptos,-0.439803749,1.24E-12,4.72E-12
Pdlim3,0.485855702,1.24E-12,4.73E-12
Rhcg,0.622773187,1.24E-12,4.75E-12
Lin28b,-0.457071,1.25E-12,4.76E-12
Ubp1,-0.149113689,1.26E-12,4.80E-12
Cdkn1b,-0.153055236,1.26E-12,4.82E-12
Igfbp3,-0.239547666,1.29E-12,4.94E-12
Vegfb,-0.196426513,1.30E-12,4.95E-12
Tdg,0.171908699,1.30E-12,4.96E-12
Tmem126a,-0.158776437,1.30E-12,4.96E-12
Osr1,0.627848952,1.31E-12,4.98E-12
Auh,-0.138312447,1.31E-12,4.99E-12
Fbxo28,-0.123066228,1.32E-12,5.01E-12
2810004N23Rik,-0.099874304,1.32E-12,5.01E-12
Pabpc1,0.127159717,1.32E-12,5.04E-12
Zfp281,-0.201981794,1.32E-12,5.04E-12
Depdc7,-0.265879512,1.33E-12,5.05E-12
Cacnb3,-0.172426813,1.34E-12,5.08E-12
Tax1bp1,-0.107738361,1.36E-12,5.16E-12
2810403D21Rik,0.456615863,1.36E-12,5.16E-12
Adgrf5,0.196881201,1.37E-12,5.20E-12
Nfam1,0.397434265,1.37E-12,5.21E-12
Ccbe1,-0.513673993,1.38E-12,5.23E-12
Psd3,-0.21119997,1.39E-12,5.29E-12
Cntnap5a,0.288747618,1.40E-12,5.31E-12
Shank2,-0.198417941,1.40E-12,5.31E-12
A330015K06Rik,0.76762559,1.40E-12,5.32E-12
Itpkc,0.238980212,1.41E-12,5.35E-12
Prdm8,-0.305563409,1.42E-12,5.38E-12
Ube2j1,-0.132948584,1.42E-12,5.40E-12
Nomo1,-0.113634698,1.43E-12,5.41E-12
Elp5,-0.103028461,1.44E-12,5.45E-12
Gm56991,0.398104246,1.46E-12,5.54E-12
Hdac3,0.112574745,1.48E-12,5.63E-12
Lnx1,-0.199465986,1.49E-12,5.64E-12
2310039H08Rik,0.310997844,1.50E-12,5.69E-12
Cdip1,-0.082190528,1.51E-12,5.73E-12
H2-D1,0.739298455,1.53E-12,5.78E-12
Tsc2,-0.145663791,1.53E-12,5.78E-12
Dnajc15,-0.177017624,1.54E-12,5.81E-12
Trappc6b,-0.121427768,1.54E-12,5.82E-12
Zfp408,0.163461821,1.54E-12,5.84E-12
Rab3d,0.151557616,1.57E-12,5.94E-12
Ermard,0.225249246,1.58E-12,5.98E-12
Paip1,-0.124422526,1.60E-12,6.05E-12
Ddhd2,-0.151770061,1.60E-12,6.06E-12
Tfrc,-0.281471374,1.61E-12,6.08E-12
Ksr1,-0.237356407,1.61E-12,6.08E-12
Tmie,0.394601822,1.62E-12,6.13E-12
Madd,-0.176596692,1.63E-12,6.15E-12
Ifnar1,0.13218472,1.63E-12,6.16E-12
Gm5857,0.43839347,1.64E-12,6.20E-12
Vangl2,0.232810754,1.65E-12,6.24E-12
B3galt1,-0.181562079,1.66E-12,6.25E-12
Crot,-0.15912053,1.67E-12,6.29E-12
Mgl2,0.888110653,1.67E-12,6.31E-12
Gm30371,-0.417783918,1.67E-12,6.31E-12
Gba2,-0.112998771,1.68E-12,6.35E-12
Vstm2a,-0.16782638,1.69E-12,6.36E-12
Drap1,-0.221887183,1.70E-12,6.41E-12
Sec22c,-0.13405985,1.72E-12,6.49E-12
BC031181,-0.107358717,1.72E-12,6.50E-12
Cwf19l2,0.180480053,1.74E-12,6.57E-12
Nfs1,-0.09836862,1.76E-12,6.64E-12
Gm16894,0.382939425,1.78E-12,6.70E-12
Sel1l3,0.170344945,1.81E-12,6.82E-12
Fam135a,0.177003377,1.84E-12,6.93E-12
Camk4,-0.362243799,1.87E-12,7.02E-12
Rhbdf2,0.376188751,1.87E-12,7.04E-12
Midn,-0.258324989,1.94E-12,7.29E-12
Sh3gl3,-0.129302108,1.94E-12,7.29E-12
Ddit3,-0.186088782,1.95E-12,7.33E-12
Echs1,0.131346622,1.95E-12,7.33E-12
Sos2,-0.140710417,1.96E-12,7.36E-12
Dennd6a,-0.116537463,1.97E-12,7.39E-12
Sirt3,-0.165839112,1.97E-12,7.39E-12
Ccdc87,0.243834221,1.99E-12,7.46E-12
Rab9b,-0.157913189,2.02E-12,7.58E-12
Ttbk1,-0.195926362,2.02E-12,7.60E-12
Gm57228,-0.310236394,2.03E-12,7.61E-12
Kifc3,-0.177449921,2.05E-12,7.70E-12
Ppme1,-0.103254101,2.06E-12,7.73E-12
Ticam2,0.483149,2.07E-12,7.76E-12
Ltbp4,0.239402941,2.15E-12,8.06E-12
Rita1,-0.183289743,2.16E-12,8.08E-12
H2bc21,-0.267494245,2.17E-12,8.13E-12
Asb6,-0.129116893,2.18E-12,8.17E-12
Trdmt1,0.230931885,2.18E-12,8.18E-12
Prkx,-0.149156186,2.19E-12,8.21E-12
Igfbp4,-0.258074679,2.20E-12,8.23E-12
Kctd21,-0.146648222,2.22E-12,8.33E-12
Ccne1,-0.169367372,2.23E-12,8.34E-12
Memo1,-0.154312606,2.24E-12,8.38E-12
Ago4,-0.192718139,2.25E-12,8.43E-12
Aplf,0.152805628,2.27E-12,8.48E-12
Eef1akmt1,-0.142027204,2.27E-12,8.50E-12
Ccdc142,0.423722461,2.28E-12,8.52E-12
Wtip,0.305239709,2.31E-12,8.63E-12
Shisa7,-0.250379925,2.31E-12,8.63E-12
Sparcl1,0.163482442,2.32E-12,8.65E-12
Primpol,0.22458254,2.32E-12,8.67E-12
Evc2,-0.361780432,2.34E-12,8.74E-12
D17H6S56E-5,0.370500463,2.34E-12,8.74E-12
Mthfr,0.203110598,2.36E-12,8.80E-12
Crb1,0.429373184,2.36E-12,8.83E-12
Cdc37l1,-0.15802927,2.37E-12,8.83E-12
Rin2,0.265479647,2.37E-12,8.84E-12
4933412O06Rik,-0.481922525,2.37E-12,8.86E-12
Bud23,-0.156389781,2.37E-12,8.86E-12
Rbm15,-0.19769331,2.39E-12,8.92E-12
Alg5,0.15207545,2.40E-12,8.94E-12
C530025M09Rik,0.354442958,2.44E-12,9.11E-12
Irf6,0.703023458,2.47E-12,9.20E-12
Plk1,0.431023263,2.49E-12,9.28E-12
Ttc23,0.228506564,2.51E-12,9.35E-12
Pfn4,0.176485491,2.52E-12,9.38E-12
S100a1,0.253810111,2.52E-12,9.38E-12
Idh1,0.18272506,2.55E-12,9.50E-12
Abat,-0.1180321,2.56E-12,9.52E-12
Tstd3,-0.153531703,2.56E-12,9.53E-12
Bcorl1,-0.221545361,2.59E-12,9.63E-12
Prkg2,-0.374450771,2.62E-12,9.76E-12
Rad51c,-0.242382109,2.63E-12,9.76E-12
Ranbp3l,0.611961599,2.63E-12,9.77E-12
Igfn1,1.014954149,2.65E-12,9.84E-12
Cct7,-0.125147911,2.70E-12,1.00E-11
