gene,log2FoldChange,pvalue,padj
Pamr1,0.265777448,1.21E-08,3.54E-08
Cebpb,0.400017563,1.41E-08,4.10E-08
Gldc,-0.192280826,9.63E-09,2.85E-08
Dusp11,0.195657793,9.95E-09,2.93E-08
Npy2r,-0.312802757,9.54E-09,2.82E-08
Etnk1,-0.138897947,9.72E-09,2.87E-08
Dcun1d5,-0.10975506,1.00E-08,2.96E-08
Lzts3,-0.198836847,9.60E-09,2.84E-08
Mst1r,-0.285369862,2.06E-08,5.88E-08
Asns,-0.151439185,9.63E-09,2.85E-08
Maea,-0.081724572,9.66E-09,2.85E-08
Rtn3,-0.114368841,1.02E-08,3.01E-08
Lonp2,-0.070730844,9.72E-09,2.87E-08
Celf4,-0.120164267,1.01E-08,2.97E-08
Gm11627,-0.297798969,2.21E-08,6.29E-08
Cox5a,-0.131296944,9.84E-09,2.90E-08
2310043P16Rik,0.423747822,3.02E-08,8.48E-08
Zbtb21,-0.104354933,1.11E-08,3.27E-08
Zfp46,0.137020307,1.04E-08,3.06E-08
Cox5b,-0.122473144,9.94E-09,2.93E-08
Cdc34,-0.162697316,1.08E-08,3.18E-08
Runx2,-0.188153362,1.52E-08,4.41E-08
Kras,-0.126736255,1.00E-08,2.96E-08
Actr10,-0.086317319,1.01E-08,2.99E-08
Zfp706,-0.115551074,1.04E-08,3.06E-08
Ndnf,0.210984088,1.05E-08,3.08E-08
Ube2e1,-0.073542355,1.09E-08,3.20E-08
Cracr2a,0.353050647,2.43E-08,6.88E-08
Gli1,0.437588733,2.34E-08,6.64E-08
Wdr27,0.315766081,2.83E-08,7.96E-08
Ubxn10,0.335769358,1.93E-08,5.53E-08
Smpd4,0.199039933,1.19E-08,3.49E-08
P3h3,0.328238596,1.57E-08,4.54E-08
Chrnb1,0.273267664,2.46E-08,6.98E-08
Il20rb,-0.488007701,2.58E-08,7.30E-08
Gm56736,0.570391187,2.95E-08,8.29E-08
Nop10,-0.138199724,1.21E-08,3.55E-08
Gm57382,0.344065439,3.13E-08,8.79E-08
Pmm2,0.123232509,1.44E-08,4.18E-08
Fance,0.159098907,1.48E-08,4.30E-08
Neil1,0.186134007,1.98E-08,5.66E-08
Zdhhc12,0.171099305,1.91E-08,5.49E-08
Nfe2l1,-0.082050439,1.14E-08,3.34E-08
Dse,0.209297073,1.64E-08,4.73E-08
Nfatc2,-0.174378588,1.47E-08,4.26E-08
Prkg1,-0.260225193,1.32E-08,3.84E-08
Nnat,0.22393347,1.17E-08,3.42E-08
Mctp2,-0.312901292,1.84E-08,5.30E-08
Ctns,0.126600604,1.44E-08,4.19E-08
Hmgn2,0.362208859,1.48E-08,4.28E-08
Eri3,-0.088938992,1.16E-08,3.40E-08
Dcaf15,0.15778863,1.45E-08,4.20E-08
Dstyk,-0.132778941,1.17E-08,3.42E-08
Shroom4,0.179985818,1.66E-08,4.79E-08
Myo18b,0.276678017,2.42E-08,6.86E-08
Csrnp1,-0.278375007,1.66E-08,4.79E-08
Ppp1r2-ps4,-0.152102164,2.29E-08,6.50E-08
Lhfpl1,-0.575011857,2.73E-08,7.71E-08
Gm13033,0.572668228,3.56E-08,9.93E-08
Fgd2,0.292829069,2.09E-08,5.98E-08
Foxo4,-0.139714834,1.35E-08,3.93E-08
Gstm7,-0.227012349,1.34E-08,3.89E-08
Josd1-ps,-0.201934896,2.13E-08,6.08E-08
2810454H06Rik,0.487411269,3.74E-08,1.04E-07
Tpm1,0.095472076,1.21E-08,3.55E-08
Ehmt2,-0.113697882,1.21E-08,3.55E-08
Gm9795,0.499751567,3.81E-08,1.06E-07
Dpf2,-0.106089666,1.27E-08,3.71E-08
Cir1,-0.160081687,1.52E-08,4.41E-08
Cdnf,0.268115532,2.93E-08,8.24E-08
Arv1,0.162935754,2.27E-08,6.45E-08
Mest,-0.220563058,1.42E-08,4.14E-08
Usp53,0.166797724,1.35E-08,3.94E-08
Tedc2,0.152940206,2.12E-08,6.04E-08
